"sobrev" "classe" "genero" "idade" "tarifa" "porto"
"1" 0 "3a" "masculino" 22 7.25 "S"
"2" 1 "1a" "feminino" 38 71.2833 "C"
"3" 1 "3a" "feminino" 26 7.925 "S"
"4" 1 "1a" "feminino" 35 53.1 "S"
"5" 0 "3a" "masculino" 35 8.05 "S"
"6" 0 "3a" "masculino" NA 8.4583 "Q"
"7" 0 "1a" "masculino" 54 51.8625 "S"
"8" 0 "3a" "masculino" 2 21.075 "S"
"9" 1 "3a" "feminino" 27 11.1333 "S"
"10" 1 "2a" "feminino" 14 30.0708 "C"
"11" 1 "3a" "feminino" 4 16.7 "S"
"12" 1 "1a" "feminino" 58 26.55 "S"
"13" 0 "3a" "masculino" 20 8.05 "S"
"14" 0 "3a" "masculino" 39 31.275 "S"
"15" 0 "3a" "feminino" 14 7.8542 "S"
"16" 1 "2a" "feminino" 55 16 "S"
"17" 0 "3a" "masculino" 2 29.125 "Q"
"18" 1 "2a" "masculino" NA 13 "S"
"19" 0 "3a" "feminino" 31 18 "S"
"20" 1 "3a" "feminino" NA 7.225 "C"
"21" 0 "2a" "masculino" 35 26 "S"
"22" 1 "2a" "masculino" 34 13 "S"
"23" 1 "3a" "feminino" 15 8.0292 "Q"
"24" 1 "1a" "masculino" 28 35.5 "S"
"25" 0 "3a" "feminino" 8 21.075 "S"
"26" 1 "3a" "feminino" 38 31.3875 "S"
"27" 0 "3a" "masculino" NA 7.225 "C"
"28" 0 "1a" "masculino" 19 263 "S"
"29" 1 "3a" "feminino" NA 7.8792 "Q"
"30" 0 "3a" "masculino" NA 7.8958 "S"
"31" 0 "1a" "masculino" 40 27.7208 "C"
"32" 1 "1a" "feminino" NA 146.5208 "C"
"33" 1 "3a" "feminino" NA 7.75 "Q"
"34" 0 "2a" "masculino" 66 10.5 "S"
"35" 0 "1a" "masculino" 28 82.1708 "C"
"36" 0 "1a" "masculino" 42 52 "S"
"37" 1 "3a" "masculino" NA 7.2292 "C"
"38" 0 "3a" "masculino" 21 8.05 "S"
"39" 0 "3a" "feminino" 18 18 "S"
"40" 1 "3a" "feminino" 14 11.2417 "C"
"41" 0 "3a" "feminino" 40 9.475 "S"
"42" 0 "2a" "feminino" 27 21 "S"
"43" 0 "3a" "masculino" NA 7.8958 "C"
"44" 1 "2a" "feminino" 3 41.5792 "C"
"45" 1 "3a" "feminino" 19 7.8792 "Q"
"46" 0 "3a" "masculino" NA 8.05 "S"
"47" 0 "3a" "masculino" NA 15.5 "Q"
"48" 1 "3a" "feminino" NA 7.75 "Q"
"49" 0 "3a" "masculino" NA 21.6792 "C"
"50" 0 "3a" "feminino" 18 17.8 "S"
"51" 0 "3a" "masculino" 7 39.6875 "S"
"52" 0 "3a" "masculino" 21 7.8 "S"
"53" 1 "1a" "feminino" 49 76.7292 "C"
"54" 1 "2a" "feminino" 29 26 "S"
"55" 0 "1a" "masculino" 65 61.9792 "C"
"56" 1 "1a" "masculino" NA 35.5 "S"
"57" 1 "2a" "feminino" 21 10.5 "S"
"58" 0 "3a" "masculino" 28 7.2292 "C"
"59" 1 "2a" "feminino" 5 27.75 "S"
"60" 0 "3a" "masculino" 11 46.9 "S"
"61" 0 "3a" "masculino" 22 7.2292 "C"
"62" 1 "1a" "feminino" 38 80 "O"
"63" 0 "1a" "masculino" 45 83.475 "S"
"64" 0 "3a" "masculino" 4 27.9 "S"
"65" 0 "1a" "masculino" NA 27.7208 "C"
"66" 1 "3a" "masculino" NA 15.2458 "C"
"67" 1 "2a" "feminino" 29 10.5 "S"
"68" 0 "3a" "masculino" 19 8.1583 "S"
"69" 1 "3a" "feminino" 17 7.925 "S"
"70" 0 "3a" "masculino" 26 8.6625 "S"
"71" 0 "2a" "masculino" 32 10.5 "S"
"72" 0 "3a" "feminino" 16 46.9 "S"
"73" 0 "2a" "masculino" 21 73.5 "S"
"74" 0 "3a" "masculino" 26 14.4542 "C"
"75" 1 "3a" "masculino" 32 56.4958 "S"
"76" 0 "3a" "masculino" 25 7.65 "S"
"77" 0 "3a" "masculino" NA 7.8958 "S"
"78" 0 "3a" "masculino" NA 8.05 "S"
"79" 1 "2a" "masculino" 0 29 "S"
"80" 1 "3a" "feminino" 30 12.475 "S"
"81" 0 "3a" "masculino" 22 9 "S"
"82" 1 "3a" "masculino" 29 9.5 "S"
"83" 1 "3a" "feminino" NA 7.7875 "Q"
"84" 0 "1a" "masculino" 28 47.1 "S"
"85" 1 "2a" "feminino" 17 10.5 "S"
"86" 1 "3a" "feminino" 33 15.85 "S"
"87" 0 "3a" "masculino" 16 34.375 "S"
"88" 0 "3a" "masculino" NA 8.05 "S"
"89" 1 "1a" "feminino" 23 263 "S"
"90" 0 "3a" "masculino" 24 8.05 "S"
"91" 0 "3a" "masculino" 29 8.05 "S"
"92" 0 "3a" "masculino" 20 7.8542 "S"
"93" 0 "1a" "masculino" 46 61.175 "S"
"94" 0 "3a" "masculino" 26 20.575 "S"
"95" 0 "3a" "masculino" 59 7.25 "S"
"96" 0 "3a" "masculino" NA 8.05 "S"
"97" 0 "1a" "masculino" 71 34.6542 "C"
"98" 1 "1a" "masculino" 23 63.3583 "C"
"99" 1 "2a" "feminino" 34 23 "S"
"100" 0 "2a" "masculino" 34 26 "S"
"101" 0 "3a" "feminino" 28 7.8958 "S"
"102" 0 "3a" "masculino" NA 7.8958 "S"
"103" 0 "1a" "masculino" 21 77.2875 "S"
"104" 0 "3a" "masculino" 33 8.6542 "S"
"105" 0 "3a" "masculino" 37 7.925 "S"
"106" 0 "3a" "masculino" 28 7.8958 "S"
"107" 1 "3a" "feminino" 21 7.65 "S"
"108" 1 "3a" "masculino" NA 7.775 "S"
"109" 0 "3a" "masculino" 38 7.8958 "S"
